,Tempo,V input,V out (RC=1),"V out (RC=0,5)","V out (RC=0,1)"
0,0.0,1.0,0.0,0.0,0.0
1,0.1,1.0,0.10517091078252178,0.21034182156504355,1.0517091078252179
2,0.2,1.0,0.2214027500403278,0.4428055000806556,2.214027500403278
3,0.30000000000000004,1.0,0.349858802624367,0.699717605248734,3.49858802624367
4,0.4,1.0,0.4918246911357179,0.9836493822714358,4.918246911357179
5,0.5,1.0,0.6487212666568051,1.2974425333136101,6.487212666568051
6,0.6000000000000001,1.0,0.8221188039155266,1.6442376078310532,8.221188039155265
7,0.7000000000000001,1.0,1.0137527538443873,2.0275055076887747,10.137527538443873
8,0.8,1.0,1.2255409506880008,2.4510819013760017,12.255409506880008
9,0.9,1.0,1.459603142771018,2.919206285542036,14.59603142771018
10,1.0,-1.0,1.718281892305506,3.436563784611012,17.18281892305506
11,1.1,-1.0,1.793824302908629,3.587648605817258,17.93824302908629
12,1.2000000000000002,-1.0,1.8773115371817852,3.7546230743635705,18.773115371817852
13,1.3,-1.0,1.9695791979314201,3.9391583958628402,19.6957919793142
14,1.4000000000000001,-1.0,2.0715507370736743,4.143101474147349,20.715507370736745
15,1.5,-1.0,2.1842467178101845,4.368493435620369,21.842467178101845
16,1.6,-1.0,2.3087950562067836,4.617590112413567,23.087950562067835
17,1.7000000000000002,-1.0,2.446442255010749,4.892884510021498,24.464422550107493
18,1.8,-1.0,2.598565894325031,5.197131788650062,25.98565894325031
19,1.9000000000000001,-1.0,2.766688528112156,5.533377056224312,27.66688528112156
20,2.0,1.0,2.9524929715883093,5.9049859431766185,29.524929715883093
21,2.1,1.0,3.368180063893688,6.736360127787376,33.68180063893688
22,2.2,1.0,3.8275855717834126,7.655171143566825,38.275855717834126
23,2.3000000000000003,1.0,4.335307212981033,8.670614425962066,43.35307212981033
24,2.4000000000000004,1.0,4.896426374667069,9.792852749334138,48.96426374667069
25,2.5,1.0,5.516558938778364,11.033117877556728,55.16558938778364
26,2.6,1.0,6.201911430542233,12.403822861084466,62.01911430542233
27,2.7,1.0,6.959343081836776,13.918686163673552,69.59343081836776
28,2.8000000000000003,1.0,7.796434515447407,15.592869030894814,77.96434515447407
29,2.9000000000000004,1.0,8.7215636252927,17.4431272505854,87.215636252927
30,3.0,-1.0,9.743989697484995,19.48797939496999,97.43989697484994
31,3.1,-1.0,10.663603822098576,21.327207644197152,106.63603822098577
32,3.2,-1.0,11.67993389912247,23.35986779824494,116.79933899122472
33,3.3000000000000003,-1.0,12.803152370138438,25.606304740276876,128.03152370138437
34,3.4000000000000004,-1.0,14.044500761544995,28.08900152308999,140.44500761544995
35,3.5,-1.0,15.416403031299517,30.832806062599033,154.16403031299518
36,3.6,-1.0,16.932589432542976,33.86517886508595,169.32589432542977
37,3.7,-1.0,18.608234400519674,37.21646880103935,186.08234400519675
38,3.8000000000000003,-1.0,20.460108551226035,40.92021710245207,204.60108551226034
39,3.9000000000000004,-1.0,22.506746090902425,45.01349218180485,225.06746090902425
40,4.0,1.0,24.768630588081237,49.537261176162474,247.68630588081237
41,4.1000000000000005,1.0,27.47874108375634,54.95748216751268,274.7874108375634
42,4.2,1.0,30.473876544745945,60.94775308949189,304.73876544745946
43,4.3,1.0,33.78401310583465,67.5680262116693,337.8401310583465
44,4.4,1.0,37.44227970425624,74.88455940851247,374.42279704256237
45,4.5,1.0,41.485289603227834,82.97057920645567,414.85289603227835
46,4.6000000000000005,1.0,45.95350663120277,91.90701326240554,459.5350663120277
